Country,GDP_Growth_%,Inflation_Rate_%,Unemployment_Rate_%,Literacy_Rate_%,Life_Expectancy,Human_Development_Index,Internet_Users_%,AI_Development_Score,Innovation_Index
Malta,2.88,1.21,10.21,64.71,76.1,0.59,52.66,73,57.95
Marshall Islands,4.34,0.38,8.1,82.98,59.4,0.91,32.48,63,19.86
Mauritania,6.69,7.2,4.21,52.22,75.5,0.92,74.08,42,50.36
Mauritius,1.61,8.7,6.03,69.06,69.7,0.87,82.09,88,41.26
Mexico,1.26,7.21,14.48,72.7,85.0,0.63,36.28,13,46.77
Micronesia,7.08,9.27,9.58,95.26,67.5,0.86,30.24,94,42.46
Moldova,5.21,7.83,10.85,85.21,80.5,0.39,39.9,72,78.47
Mongolia,1.99,4.73,2.4,90.04,61.4,0.55,85.48,66,62.76
Montenegro,4.31,0.08,9.25,89.2,78.0,0.68,63.65,33,65.97
Morocco,6.81,4.98,2.76,66.19,63.4,0.44,68.54,69,33.58
Mozambique,4.55,5.8,4.2,87.4,82.4,0.4,50.36,62,28.63
Myanmar,5.75,9.77,11.33,73.16,60.8,0.51,76.79,79,26.21
Namibia,2.71,8.57,6.9,77.96,63.9,0.62,40.48,57,43.55
Nauru,1.21,4.73,14.14,85.03,56.8,0.5,84.4,99,72.02
Nepal,6.94,6.72,5.51,88.83,68.7,0.38,63.44,15,53.89
Netherlands,0.78,3.52,10.02,77.35,58.4,0.51,46.35,91,32.95
New Zealand,4.12,2.25,11.97,62.57,56.2,0.65,32.12,31,41.16
Nicaragua,6.82,9.59,13.81,80.53,77.4,0.69,75.05,73,58.67
Niger,-0.87,2.68,14.66,85.25,62.1,0.6,42.57,25,80.37
Nigeria,7.22,3.28,9.1,91.85,57.8,0.75,89.96,90,76.28
North Korea,6.29,3.4,10.33,98.68,64.9,0.83,32.74,24,55.42
North Macedonia,3.59,9.75,6.02,60.43,58.2,0.87,48.3,93,70.37
Norway,6.82,8.32,10.61,60.64,61.7,0.53,79.8,58,77.81
Oman,1.11,6.18,4.09,91.74,71.4,0.38,88.92,47,17.42
Pakistan,3.38,2.23,12.6,90.38,74.6,0.92,45.29,43,21.87
Palau,3.9,0.16,5.44,85.45,67.1,0.92,59.95,70,19.67
Panama,5.88,3.2,2.72,90.01,73.3,0.84,53.25,13,86.65
Papua New Guinea,6.26,3.21,14.58,86.95,68.0,0.89,71.81,52,52.57
Paraguay,7.25,0.02,4.13,94.35,55.4,0.75,61.79,86,29.5
Peru,3.33,2.82,14.13,79.46,70.1,0.37,84.53,77,80.76
Philippines,0.22,3.58,9.24,65.39,83.1,0.6,61.77,76,18.51
Poland,3.11,0.1,9.65,58.41,72.6,0.38,56.39,94,19.37
Portugal,7.39,5.55,5.84,52.39,58.8,0.51,93.65,64,87.88
Qatar,1.53,1.69,6.18,87.8,75.6,0.42,36.11,55,30.84
Romania,6.64,5.34,4.03,86.55,61.3,0.69,36.89,46,69.09
Russia,5.01,8.34,8.66,92.74,73.2,0.76,36.74,36,28.65
Rwanda,0.74,7.89,11.41,88.57,83.7,0.8,79.48,64,63.19
Saint Kitts and Nevis,7.41,4.29,10.97,94.46,67.4,0.76,30.82,30,29.65
Saint Lucia,4.67,7.05,3.74,89.52,79.1,0.69,81.39,64,81.1
Saint Vincent and the Grenadines,-1.62,4.88,3.17,95.09,64.8,0.63,45.4,78,77.51
Samoa,1.17,4.1,5.4,72.31,60.1,0.52,47.62,32,16.83
San Marino,3.07,7.93,3.03,60.28,62.0,0.61,53.75,48,68.09
Sao Tome and Principe,3.74,2.62,8.27,99.19,62.7,0.67,72.9,28,27.24
Saudi Arabia,7.04,6.24,6.94,58.55,56.0,0.35,67.97,77,81.7
Senegal,1.85,0.01,4.43,60.03,61.3,0.79,93.09,73,82.89
Serbia,0.42,6.09,6.09,85.95,60.9,0.81,59.73,74,35.23
Seychelles,3.95,1.21,12.54,70.25,57.0,0.95,66.84,43,78.19
Sierra Leone,2.91,0.04,13.59,63.28,55.4,0.47,35.17,55,74.39
Singapore,-0.47,4.77,4.67,86.41,76.2,0.72,83.15,29,63.49
Slovakia,3.84,4.24,2.24,64.11,77.2,0.72,65.91,19,69.66
Slovenia,-0.37,9.76,10.23,55.0,55.7,0.82,84.98,65,39.32
Solomon Islands,7.41,8.79,6.72,68.89,79.5,0.42,49.52,58,38.46
Somalia,-0.93,6.09,7.92,52.75,77.2,0.53,33.25,77,61.03
South Africa,-1.2,7.36,11.39,52.01,56.9,0.82,86.97,19,51.84
South Korea,-1.58,9.67,14.96,69.98,74.1,0.6,35.92,82,53.05
South Sudan,4.08,2.28,11.64,85.0,66.3,0.75,41.44,30,40.88
Spain,6.89,3.06,8.51,81.03,75.6,0.37,88.12,38,80.12
Sri Lanka,-0.29,7.4,3.64,77.5,70.8,0.57,42.42,46,17.99
Sudan,5.3,4.56,4.4,66.54,67.5,0.36,90.71,15,33.03
Suriname,0.7,9.33,2.27,79.98,58.3,0.53,32.52,17,22.55
Sweden,-1.25,0.45,3.07,66.24,55.2,0.93,56.17,40,44.11
Switzerland,1.85,8.44,8.65,91.16,79.5,0.43,53.53,48,31.18
Syria,5.24,8.24,6.51,54.41,71.8,0.62,58.85,83,63.61
Taiwan,5.4,9.73,6.32,80.07,78.3,0.83,86.91,37,22.67
Tajikistan,0.27,4.22,2.41,73.43,61.8,0.87,37.47,41,36.25
Tanzania,5.34,4.61,9.29,75.03,71.8,0.78,60.24,39,23.99
Thailand,2.23,9.73,3.54,64.23,84.4,0.68,37.52,67,65.43
Timor-Leste,-1.89,9.63,8.45,88.23,77.2,0.47,33.04,54,30.09
Togo,2.37,4.54,3.67,86.68,63.4,0.91,79.8,87,19.71
Tonga,-0.01,8.33,2.3,65.52,67.5,0.78,83.46,32,36.9
Trinidad and Tobago,6.31,7.53,8.57,83.69,62.9,0.55,59.82,51,38.44
Tunisia,3.66,4.13,13.71,77.44,80.3,0.81,43.41,63,52.99
Turkey,-1.03,7.47,6.92,74.17,59.3,0.91,37.56,23,37.48
Turkmenistan,0.15,0.06,9.63,91.92,76.8,0.76,92.87,46,75.85
Tuvalu,7.83,1.51,4.85,65.92,66.2,0.87,33.19,18,86.05
Uganda,1.07,8.79,12.79,95.91,84.6,0.89,80.18,70,32.11
Ukraine,1.62,3.13,13.14,74.4,61.4,0.56,78.9,58,47.42
United Arab Emirates,6.61,8.67,4.54,98.96,69.2,0.4,68.17,43,52.82
United Kingdom,1.9,4.07,13.21,94.68,59.0,0.91,69.93,54,80.39
United States,0.07,2.26,12.84,92.76,71.4,0.38,87.32,10,54.1
Uruguay,0.96,5.39,14.31,84.64,83.1,0.5,79.22,51,81.99
Uzbekistan,0.17,1.77,9.7,61.75,78.9,0.65,76.55,89,41.5
Vanuatu,-1.34,4.19,3.63,83.09,73.4,0.54,87.05,34,23.2
Vatican City,1.92,3.25,6.53,74.83,67.6,0.86,54.83,52,79.61
Venezuela,6.22,4.05,12.83,59.91,81.7,0.66,39.67,92,18.37
Vietnam,7.38,3.31,5.7,65.68,61.5,0.55,39.48,40,30.22
Yemen,-0.98,6.36,4.36,62.53,70.9,0.44,53.49,54,45.9
Zambia,3.08,8.52,14.77,86.01,84.6,0.89,71.04,20,86.02
Zimbabwe,4.7,3.5,6.84,87.83,76.3,0.38,93.1,24,45.76
